customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7209-XXXXX,Female,0,Yes,No,19,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,94.35,1792.65,No
1703-XXXXX,Female,1,Yes,Yes,17,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,103.46,1758.82,Yes
4320-XXXXX,Female,1,Yes,No,65,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,106.92,6949.8,Yes
5664-XXXXX,Male,1,No,Yes,12,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,108.99,1307.88,No
6029-XXXXX,Male,1,No,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,91.34,4567.0,No
1829-XXXXX,Female,1,No,No,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,49.12,1129.76,Yes
6072-XXXXX,Female,0,No,No,33,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,103.48,3414.84,Yes
6674-XXXXX,Male,0,No,No,58,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card,48.02,2785.16,No
8901-XXXXX,Male,0,Yes,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,42.8,1540.8,No
2814-XXXXX,Female,1,Yes,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,97.76,97.76,No
1298-XXXXX,Male,0,Yes,No,19,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer,95.71,1818.49,No
4083-XXXXX,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,53.19,53.19,No
6157-XXXXX,Female,1,Yes,No,24,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Credit card,80.91,1941.84,No
6067-XXXXX,Female,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,76.19,2742.84,Yes
1015-XXXXX,Male,1,Yes,No,71,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card,70.57,5010.47,No
5956-XXXXX,Female,0,No,Yes,13,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,87.24,1134.12,Yes
5865-XXXXX,Female,1,No,Yes,5,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,102.03,510.15,Yes
2044-XXXXX,Male,1,No,Yes,40,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,21.06,842.4,No
6923-XXXXX,Female,1,No,No,41,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card,42.44,1740.04,Yes
3250-XXXXX,Female,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,84.26,84.26,No
3471-XXXXX,Female,0,No,Yes,30,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer,58.28,1748.4,No
3000-XXXXX,Male,0,No,No,61,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,105.11,6411.71,No
4922-XXXXX,Female,0,Yes,Yes,69,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,60.51,4175.19,Yes
9098-XXXXX,Male,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,110.06,220.12,No
2859-XXXXX,Female,0,No,Yes,58,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,78.3,4541.4,No
